Generation: 12 | maxFitness: 0,3658777 | maxFitnessGen: 0,2590763 | maxFitnessGenBuf: 0,3658777
N TotallyRandom: 1 | N RandomParents: 80 | N Top2: 0 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
39|RandomParents|0,0231829|-4,776876;3,05565;2,073171;4,737342;-1,830655;5,57616;-3,228939;-1,040655;1,062893;-3,371163;-1,270655;3,329276;2,663707;-3,420517;-2,212035;-3,13361;-2,860996;-1,915151;-1,233036;-4,456219;0,3961641;0,4782906;-1,041464;3,23961;5,421531;-4,386792;0,5674706;-3,939657;0,4598703
40|RandomParents|0,02311571|-0,7762462;-1,845499;6,186421;3,126287;0,4165331;-0,9106836;1,260579;2,029058;2,099055;-4,515598;4,758733;-0,6908621;-4,701316;-4,013691;0,9325408;-0,9693516;3,134982;-4,750476;-0,9394008;2,802105;0,7857434;-2,863112;1,197899;2,397438;-2,073161;1,848138;2,989695;-1,61691;-3,068443
41|RandomParents|0,0230848|-0,9788128;-1,200013;4,289072;2,97432;-1,139519;-0,09755248;2,500446;2,086861;3,404121;-3,578083;3,244426;-0,3207909;-5,325978;-2,499846;1,171776;-1,493767;5,580025;-3,481652;-0,4040329;3,5971;0,2191525;-1,318447;0,8900144;3,44558;-3,148618;2,110336;4,109255;-1,859037;-4,502828
42|RandomParents|0,02181941|-4,975878;4,232244;2,118574;5,181618;-2,237377;5,115647;-2,710363;-0,6885651;0,9992651;-3,584027;-1,567201;4,164894;2,373525;-2,598653;-1,219161;-1,582863;-3,639931;-2,866787;-1,971048;-3,909284;0,7502384;0,4268231;-1,710059;3,093729;4,936931;-3,520491;0,09342158;-4,918562;-0,3627592
43|RandomParents|0,01756992|-3,918056;4,063138;-4,606964;0,2373916;-1,530645;-1,941558;-3,347129;3,720308;-0,8396863;3,314705;-1,524555;2,073896;-1,154188;0,3923849;-0,650455;-4,143519;4,021883;-1,797799;-0,1769528;1,36758;1,674063;-2,073576;3,917784;3,561365;3,499079;-3,430774;-0,1224795;0,5921601;2,247001
44|RandomParents|0,0175671|-3,966343;4,063138;-4,548265;-0,1840803;-1,071294;-1,941558;-3,347129;3,926629;-0,4614377;2,767919;-1,096039;2,073896;-1,592228;0,783146;-0,3697265;-4,233133;3,614073;-1,797799;-0,1769528;1,36758;1,294925;-2,33079;3,310732;3,901613;3,023722;-4,319361;-0,1224795;0,5921601;2,250047
45|RandomParents|0,01535498|-2,290068;0,3911155;-0,9967157;0,8826948;4,368854;0,2465454;-2,802069;3,840072;-2,599435;-5,664554;-0,08050536;-0,9230405;0,1903837;-4,77307;0,2960492;-5,144159;-2,19537;-2,760668;-1,731388;-0,04698613;2,149729;1,318618;0,07768857;4,9358;4,591252;3,269652;-2,116846;4,015875;4,475005
46|RandomParents|0,01396334|0,486589;-2,018099;3,275159;4,133305;-0,6517382;-2,371079;4,058641;0,09786403;2,219617;-0,7595057;1,395418;3,007872;-1,186357;2,100715;-0,9153622;-0,7833257;4,675636;-1,835244;1,965797;-4,884499;1,837152;1,936144;2,94754;-1,259092;4,706516;4,386954;1,729655;0,7245671;0,5375772
47|RandomParents|0,01396118|0,5249165;-2,360662;3,787906;4,231319;-0,804256;-2,306561;3,63311;0,4253196;1,899622;-1,000587;1,42796;3,573983;-0,8663359;3,015452;-0,7901364;-1,207162;5,263433;-1,86821;2,98082;-4,549407;1,750127;1,828652;3,712972;-1,797404;5,439252;4,02832;1,575608;-0,2574313;1,203357
48|RandomParents|0,01395992|0,8859863;-2,360662;4,010695;4,724123;-1,116357;-2,41997;3,63311;0,07059687;1,899622;-0,9211416;0,6955498;3,302188;-0,596496;3,015452;-0,7901364;-0,9464179;4,510696;-1,897246;2,497288;-4,582249;2,08338;1,828652;3,816992;-1,797404;5,209118;3,635722;1,979486;0,1090963;0,6731689
49|RandomParents|0,013957|4,485855;-0,1695557;0,7720189;-2,289982;3,794328;-0,06813097;2,915457;2,38373;2,654668;-0,9684606;2,957397;-1,928246;-1,985592;-0,786521;1,974968;-4,531219;4,196177;0,6339054;0,4586549;-3,625529;2,465689;0,7346482;0,6089048;-2,763986;3,528396;2,44906;-4,015342;3,315226;1,502979
50|RandomParents|0,01395079|-1,893567;0,3811972;2,220625;-0,2573836;-1,399797;4,096817;2,908547;3,835399;0,2598281;-3,412189;3,116883;-3,692297;4,599124;-2,877021;4,74485;0,1141672;-2,78699;-3,292696;0,1480123;1,440514;1,114587;-0,7914023;2,27824;1,230809;-1,260714;-0,09918398;-0,4300665;3,491313;1,002148
51|RandomParents|0,01394981|-1,611993;0,3754589;1,968886;-0,112421;-1,287347;4,276093;2,92706;3,879464;-0,219082;-2,997601;3,208171;-3,554206;5,295237;-2,710939;4,36961;0,2898404;-2,569361;-3,697299;-0,2918797;1,279238;0,8739817;-0,9923492;2,301675;1,433082;-0,8353193;0,3537622;-0,3217656;3,194707;1,767535
52|RandomParents|0,013949|-1,338329;0,5791373;2,233966;-0,112421;-1,287347;4,474201;2,616409;3,879464;-0,419468;-2,997601;3,208171;-3,871332;4,95605;-2,64188;4,280282;0,2898404;-2,099276;-3,403199;-0,5366994;1,279238;0,7492626;-0,7039625;2,321959;1,433082;-0,8353193;0,3537622;-0,7723462;3,688533;1,309991
53|RandomParents|0,01394853|-1,729646;0,5791373;2,117952;-0,1383567;-1,287347;3,985623;2,616409;3,879464;-0,419468;-3,265582;3,050421;-3,985943;5,642166;-2,200711;4,481493;0,6994604;-2,937312;-3,812642;-0,3543144;0,8362747;0,6039466;-0,9912406;2,446602;1,721235;-0,8353193;0,3537622;-0,3373111;3,804363;1,309991
54|RandomParents|0,01394229|2,692497;3,150071;-2,072227;3,978084;2,992578;0,5226343;4,663783;4,218865;1,364866;-0,5794166;2,589387;3,307944;3,276464;-1,219368;1,342296;1,090591;0,0370051;-3,701041;-4,816895;3,77268;-3,669816;5,003078;-1,099657;3,429498;0,0822475;2,074954;2,020469;0,376592;1,340492
