Generation: 30 | maxFitness: 0,6101888 | maxFitnessGen: 0,2480929 | maxFitnessGenBuf: 0,2549421
N TotallyRandom: 1 | N RandomParents: 0 | N Top2: 80 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
40|TOP2|0,1586078|3,063794;-1,037417;-4,759192;-4,396547;-3,908316;5,534549;-4,42532;-4,808725;-0,1017371;-0,2351859;-3,779289;-0,5497578;0,3702995;0,1469939;5,788587;-0,1820963;3,519903;3,006541;0,3420939;-1,466252;4,703124;-2,904867;2,359013;1,937846;-2,427544;3,8855;-5,747942;-2,068104;5,087088
41|TOP2|0,1579664|2,663687;-1,037417;-4,860104;-4,320288;-3,813421;5,957697;-4,315131;-4,841764;-0,3040403;-0,3608104;-3,999915;-0,1206689;0,7502293;0,1469939;5,946869;-0,4664785;3,519903;2,638194;0,3420939;-1,55109;5,126548;-3,404075;2,42296;2,217446;-2,534416;3,397901;-5,747942;-2,196392;5,087088
42|TOP2|0,1578375|2,663687;-0,8988566;-5,239099;-4,396547;-3,37734;5,534549;-4,759708;-4,55712;0,2326789;-0,1378964;-3,809781;-0,9042199;1,249989;0,2843729;5,676407;-0,655954;3,519903;2,557212;0,3420939;-1,912052;4,942946;-3,248668;2,167058;2,363426;-2,427544;3,307371;-5,747942;-2,570542;5,484778
43|TOP2|0,1557103|3,03747;-1,037417;-4,759192;-4,396547;-3,813421;5,534549;-4,42532;-4,841764;0,06314082;-0,5875596;-3,779289;-0,5497578;0,7502293;0,221906;6,096348;-0,164879;3,519903;2,557212;0,3420939;-1,912052;4,650669;-3,199303;2,349566;2,098936;-2,13642;3,804934;-5,747942;-2,192967;5,188922
44|TOP2|0,1537686|3,004828;-1,120836;-4,759192;-4,615531;-4,087684;5,716522;-4,42532;-4,46249;0,3620107;-0,4357622;-3,779289;-0,5497578;0,8762094;0,1469939;6,096348;-0,5920287;3,519903;2,557212;-0,06826487;-1,845512;4,650669;-3,404075;2,586656;2,363426;-2,577987;3,450369;-5,747942;-2,039857;5,087088
45|TOP2|0,1530693|2,525203;-0,6224198;-5,128688;-4,392073;-3,660967;5,960195;-4,329397;-4,464284;0,06314082;-0,2351859;-3,779289;-0,5497578;1,177976;0,4065023;6,096348;-0,2976504;3,519903;2,557212;0,3907101;-1,545155;4,268587;-3,404075;2,359013;2,637838;-2,89307;3,509706;-5,747942;-2,196392;5,407003
46|RandomParents|0,152106|2,860007;-1,390453;-3,224925;-4,511395;-3,793586;5,897861;-3,996446;-4,690892;-1,400017;0,170674;-3,362275;-0,7735176;0,4417138;0,545266;4,309122;-1,178577;2,678926;1,669968;1,785839;-0,5266137;5,129024;-3,050983;1,559977;3,421554;-1,620623;3,909033;-4,319297;-3,641043;4,660218
47|TOP2|0,1517254|2,663687;-1,037417;-4,659659;-4,396547;-3,512068;5,783207;-4,296217;-4,841764;0,5107782;-0,2351859;-3,905482;-0,5497578;0,7639143;0,1469939;6,096348;-0,5920287;3,519903;2,650156;0,3846804;-2,295621;4,359152;-3,408262;2,359013;2,363426;-2,427544;3,401585;-6,108122;-1,972361;5,087088
48|TOP2|0,1511113|2,663687;-1,129555;-5,124689;-3,972935;-3,586044;5,060811;-4,42532;-4,443099;0,494783;-0,2351859;-3,478227;-0,5497578;0,7502293;0,1263171;6,450765;-0,5920287;3,519903;2,557212;-0,1377489;-1,412219;4,468811;-2,921486;2,068727;2,537854;-2,514801;3,804934;-5,747942;-2,302883;4,687401
49|TOP2|0,1318889|2,663687;-1,037417;-4,759192;-4,396547;-3,813421;5,534549;-4,42532;-4,841764;0,202696;-0,3721812;-3,34738;-0,5497578;0,7502293;-0,08549717;6,096348;-0,5853682;3,519903;2,852256;0,3398106;-2,209886;4,51229;-3,068163;2,412937;2,363426;-2,223723;3,804934;-5,867976;-2,473624;5,087088
50|TOP2|0,1231975|2,663687;-1,037417;-4,759192;-4,396547;-3,813421;5,983652;-4,629773;-5,223325;-0,1197076;-0,2351859;-3,779289;-0,427465;0,7502293;0,5861117;6,096348;-0,2949281;3,405601;2,217474;0,3420939;-1,912052;4,650669;-3,67415;2,359013;2,363426;-2,427544;3,804934;-5,747942;-2,196392;5,073782
51|TOP2|0,1173777|2,501823;-0,8280499;-4,44745;-4,396547;-4,136339;5,534549;-4,359483;-4,3626;0,145708;-0,2351859;-3,377781;-0,5497578;0,6619225;0,6179321;6,104964;-0,2268966;3,391573;2,557212;0,3420939;-1,506564;4,650669;-3,404075;2,359013;2,363426;-2,685544;3,436739;-5,747942;-2,196392;4,714362
