Generation: 1 | maxFitness: 0,2588646 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,2588646
N TotallyRandom: 1 | N RandomParents: 0 | N Top2: 89 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
17|TOP2|0,0118714|-1,32463;-3,852063;-4,965845;-3,571657;-3,462963;-4,175669;1,078341;3,899878;0,6972246;3,111128;-3,198613;-3,71944;-2,401472;-0,2753692;4,558779;-4,150414;-0,8941026;2,235688;2,145667;-0,5736871;3,803402;-2,931381;-4,983057;-2,246174;-2,645144;-3,657709;4,617949;4,418677;-2,570268
18|TOP2|0,011208|-4,713626;2,738135;4,954607;-2,313501;-2,095142;0,1038594;-3,310498;2,169352;4,099764;0,8027797;-1,627709;-4,765766;0,8953147;4,516773;3,946857;-2,841032;1,571241;-4,432337;4,878256;-2,319248;-3,574271;2,355583;-2,450271;3,114018;-4,362888;-3,563829;4,07928;2,185624;3,752153
19|TOP2|0,009763417|2,769319;-4,379807;-2,313823;-4,029703;1,672531;-4,987683;2,823715;-4,258858;-3,795292;-1,88291;-4,25852;-0,9580679;-4,553167;4,397826;-3,385296;-0,09855223;2,246604;1,92456;1,192607;3,799816;-3,953749;-2,295244;1,987654;-1,242214;2,014174;0,3770642;1,989117;1,333757;2,487941
20|TOP2|0,009736557|0,01615238;0,918426;1,673462;2,242173;1,103091;3,437537;-2,235954;-4,940054;-1,621223;-4,046193;-3,414547;3,253996;-2,391296;-4,51805;-3,389383;0,4633207;-4,466662;2,830848;-4,117262;2,4789;4,591453;-1,684738;2,747071;-2,312944;1,275551;-0,2900939;3,337871;3,246687;4,232917
21|TOP2|0,009648792|-3,014565;4,330215;1,062102;0,3558607;-2,205615;-2,107819;-1,642501;-3,670912;3,607717;4,998376;-2,243919;-3,130727;4,615856;4,800303;-1,54978;-3,595386;-1,11253;2,652212;1,309209;2,091638;4,587064;4,357278;3,877991;-2,278255;-3,005936;-3,546811;-1,259341;2,613306;-2,53923
22|TOP2|0,009647974|-1,803623;-0,6278605;3,000246;-1,537884;2,018216;4,967678;-3,792981;0,121675;-4,186384;-1,98751;-3,011827;3,845664;-1,40107;-3,260515;-3,325504;2,313452;2,183648;4,229033;-3,954041;0,3868337;-4,968782;0,913281;1,853718;1,6591;2,712243;3,411845;4,039371;-2,084039;2,588055
23|TOP2|0,009642016|3,853638;-3,905697;4,672973;3,291587;2,05264;1,717915;4,919967;-3,404474;0,8555036;2,044421;2,773163;0,6315823;-3,284185;-3,426025;0,1613445;1,047556;2,121896;-0,7030468;0,3571086;-3,441522;-0,8019166;4,481578;2,423921;-3,05372;2,820238;-1,380693;-1,069704;1,92839;2,808547
24|TOP2|0,009639911|1,929009;2,720025;3,899753;0,3519516;2,401744;-0,9155316;-1,514936;3,980017;3,727286;2,539464;3,904654;-2,538304;4,883246;-4,166206;4,830673;-3,502279;-3,00174;0,3403239;-4,697061;-3,104931;1,132965;-3,182501;3,020253;1,769147;-3,615492;1,928892;0,9059601;1,016689;0,2613502
25|TOP2|0,009637225|0,1124401;0,654182;4,85913;-2,428339;2,01757;3,098798;-4,260359;2,048337;0,7923656;-1,192604;1,932294;2,988557;2,136043;1,636929;-1,31628;-3,85655;1,097674;-0,9427519;-0,4950566;-2,555317;-4,523386;1,236591;-3,697838;-1,778788;2,41963;1,031263;0,5930262;-0,3037982;1,967804
26|TOP2|0,009635142|-0,8393903;3,628016;3,084282;4,81989;4,741027;-0,4245429;-1,558865;3,713957;-1,615196;2,284778;-0,8608584;-0,8642597;-2,390988;-4,385307;-4,661583;3,021736;3,213318;-1,078237;3,078199;-4,911493;-0,5058079;3,212246;0,08245993;-4,171816;-0,684485;3,695432;1,844128;1,161296;4,631317
