Generation: 1 | maxFitness: 0,2269851 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,2269851
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
38|TOP2|0,01329827|4,883271;1,148879;-1,489528;-4,336663;1,412631;4,945783;-2,344281;-4,913596;-1,461181;-3,151596;-2,902546;-0,3974266;4,490215;-4,931554;-4,023888;-4,540426;1,59157;-0,1391478;3,063519;0,1315851;3,386147;-3,047872;-1,438919;2,056026;-2,980403;0,9145765;0,4893155;-2,870813;-4,2901
39|TOP2|0,01298849|2,305119;4,657161;-2,690581;3,200526;2,26372;-2,74757;0,2853484;-0,8334785;4,115176;3,700578;0,1812429;2,730334;4,648371;-2,729875;1,418199;-3,989411;2,192061;-4,722805;1,061619;-1,217746;-0,1558619;-1,499276;-4,752732;-2,645186;2,485484;0,05662012;-3,459722;-2,14948;-2,307377
40|TOP2|0,01296614|1,229547;-3,015857;2,513258;3,750856;-3,845423;-4,596113;2,021475;-4,08919;-4,375701;-4,052691;2,069558;-2,463122;0,05808401;4,498415;2,496172;4,228048;4,610416;2,456338;-1,586087;-3,826573;-3,143978;-4,707827;3,821855;-3,844071;-4,801924;-1,623134;1,002676;0,5468221;-3,743902
41|TOP2|0,01296035|-4,693593;3,697658;-2,602629;3,232059;3,637744;-0,8515697;0,01427937;-2,937225;3,027031;-1,03466;2,325473;-2,215092;4,674077;-0,2092676;-3,654154;1,632892;0,588891;3,820408;3,282314;0,7260804;4,489014;-4,388098;-2,926058;4,820543;-4,565279;3,33521;-4,754158;-2,833515;4,333481
42|TOP2|0,01294895|1,145098;3,611399;-0,9808569;3,0896;-1,274827;-0,4705949;1,807451;-3,181832;4,187128;-0,6490259;1,373001;-3,617348;4,088651;2,024698;4,323221;-2,552965;4,251715;0,3741331;-2,079467;4,815621;3,650924;-4,524296;-4,694222;3,12589;0,9669824;-1,239269;-0,02086926;-1,521237;-2,573608
43|RandomParents|0,01294569|1,473037;2,570195;1,566055;4,268512;-0,1420336;-2,22451;-3,880242;-1,276801;-4,706735;-0,858429;4,067642;0,7740812;-3,814575;3,498092;-4,142513;0,09269285;-1,554076;3,34816;2,016765;2,515879;-3,25436;3,875323;-0,3788037;3,480068;-1,800142;-2,287264;4,258558;-3,329549;1,135208
44|TOP2|0,01294509|4,104586;3,292593;-2,290864;1,212041;-4,798063;-2,443196;1,144192;4,835973;3,073799;-0,3070135;3,250474;0,2263923;-4,981469;-0,7308788;3,491291;-3,300705;0,1956077;0,3274064;-3,679553;-2,836397;2,712826;-3,310131;0,243948;-1,791303;3,176372;-1,561043;-1,900525;-4,373268;-1,020694
45|TOP2|0,01294244|2,032622;-4,69351;-1,278279;2,509199;3,327091;-0,00290823;-1,324916;0,9999328;-3,455198;3,747494;-1,388232;3,498172;-3,849396;0,7283764;-3,488559;4,947302;2,832347;0,2230759;3,383333;-3,287543;0,2728682;1,167008;-1,832349;2,589775;3,911946;0,2237101;-3,760633;-3,574438;-4,993887
46|TOP2|0,01294016|3,805327;-3,457687;2,147279;-0,7351594;-0,4554362;-3,0655;2,539911;3,350613;2,335141;-1,140614;-1,558575;0,3221507;2,081115;-1,392099;-0,234303;-4,36821;-4,429958;-3,894152;4,324098;0,4985576;-1,67591;-0,4117303;4,467225;4,281069;-4,071079;-0,3972049;-4,812554;-1,949516;-4,899233
47|TotallyRandom|0,01293285|2,763671;0,3708105;1,42028;2,009377;-0,4254169;-4,26
