Generation: 329 | maxFitness: 2,42142 | maxFitnessGen: 1,686924 | maxFitnessGenBuf: 1,588142
N TotallyRandom: 10 | N RandomParents: 25 | N Top2: 15 | Min Mutation: 0,5

Index: 38 | Name: car 0 | Brain Type: RandomParents | Fitness: 0,3378279 | BrainData : 3,227619;-3,803456;2,152716;-2,985168;2,809089;-4,683064;3,526517;0,749927;3,159771;-4,739445;-0,8634801;0,553431;-0,2959495;-0,5144281;-0,7132192;1,87745;-3,937052;-2,431271;-0,677516;-0,3973131;-2,933627;2,229671;-4,99777;4,920688;2,891403;3,908916
Index: 39 | Name: car 32 | Brain Type: TotallyRandom | Fitness: 0,3375925 | BrainData : 0,6018562;0,1669292;-2,257983;3,702897;-0,7815437;2,449265;-2,044944;-0,6140165;-1,329319;3,578409;0,7305522;-2,08344;1,236114;-1,72945;2,458321;-0,07531118;-3,706183;1,40283;4,336781;-3,036373;0,6064754;4,921824;3,494515;3,626337;2,572458;-4,006933
Index: 40 | Name: car 6 | Brain Type: RandomParents | Fitness: 0,3364813 | BrainData : -3,368065;2,226282;4,315881;3,10738;0,486275;3,067402;-3,173881;3,019556;0,8650117;-3,659162;-0,425084;-4,871307;1,614695;-0,8248941;1,429875;-3,439233;2,222514;-1,545865;1,768806;3,629337;3,229486;4,644009;4,182392;0,7595911;4,468485;-1,473345
Index: 41 | Name: car 31 | Brain Type: TotallyRandom | Fitness: 0,2926352 | BrainData : -3,301428;-4,520838;-4,337358;-0,1287513;0,04763174;0,5572052;-3,645936;4,630856;-2,057671;1,915989;-0,3107338;0,5641894;2,940811;-2,203049;0,5531449;2,435302;4,599004;-1,914277;-1,567715;-4,319803;-1,837626;1,394358;1,334706;4,987222;-0,4520326;-0,3025894
Index: 42 | Name: car 28 | Brain Type: TotallyRandom | Fitness: 0,2917063 | BrainData : -1,898248;-2,765039;4,831742;1,089017;-1,333615;1,1566;-4,1335;-2,760616;-4,066845;4,576639;4,026554;-1,920368;3,981872;2,488213;0,9243636;2,229322;-2,919054;-0,9620328;2,919211;-1,835933;-1,96776;3,287038;-0,07996988;4,255686;-0,1855035;-3,502193
Index: 43 | Name: car 30 | Brain Type: TotallyRandom | Fitness: 0,2755111 | BrainData : -3,881186;-1,282415;-2,862508;3,465043;4,969313;-4,224123;-0,6939583;-4,869049;3,34517;-0,2427549;-0,8267765;-4,352158;1,402973;0,2610917;-4,193583;-2,223062;-2,467061;-1,906775;2,373844;4,598413;-1,442074;0,4573493;-2,423985;0,9056492;-2,548533;-1,785013
Index: 44 | Name: car 25 | Brain Type: TotallyRandom | Fitness: 0,2737199 | BrainData : 4,223765;-1,393517;-2,949237;1,253735;-3,624078;3,070812;-0,3422303;-2,885762;4,297548;3,766638;-4,152932;-2,26149;-4,816784;4,536885;-1,366628;1,157089;-1,711895;0,04763651;2,968366;3,784626;-0,93118;2,894863;-1,893397;-4,707977;-2,484353;1,486488
Index: 45 | Name: car 17 | Brain Type: RandomParents | Fitness: 0,2671405 | BrainData : -2,286723;2,397673;-1,6223;-3,684132;0,6326563;-0,05008411;-0,7847279;4,671334;3,000798;-3,269105;0,6346469;-2,473769;3,71097;2,415655;2,986482;-4,102988;2,829885;2,569424;-4,39911;-4,709788;0,4266815;-2,240236;0,553018;0,7642751;-1,929068;-4,605494
Index: 46 | Name: car 11 | Brain Type: RandomParents | Fitness: 0,2657195 | BrainData : -0,8429904;0,5412628;-3,557606;-1,266903;-0,6385244;-1,055513;-2,951968;-0,6402318;-1,312227;2,786131;-4,189856;1,537961;-1,865766;-2,475695;2,130603;-4,789758;1,875374;2,030578;0,8675785;-2,280242;-1,772892;2,088377;4,477921;-3,751253;-2,017109;-0,6702921
Index: 47 | Name: car 12 | Brain Type: RandomParents | Fitness: 0,265573 | BrainData : -0,8186615;0,5270023;-3,556769;-1,233269;-0,7203953;-1,034614;-2,940975;-0,6713967;-1,370442;2,775099;-4,184556;1,556855;-1,876897;-2,495142;2,166616;-4,789758;1,891016;2,047797;0,8224547;-2,30714;-1,783555;2,117144;4,504236;-3,772771;-2,027731;-0,6685238
Index: 48 | Name: car 29 | Brain Type: TotallyRandom | Fitness: 0,2631916 | BrainData : 3,889473;-2,555
